Process	CPU	Private Bytes	Working Set	PID	Description	Company Name
     cl.exe	3.09	145 124 K	137 176 K	13076	Microsoft® C/C++ Compiler Driver	Microsoft Corporation
     cl.exe	3.09	134 296 K	94 612 K	17696	Microsoft® C/C++ Compiler Driver	Microsoft Corporation
     cl.exe	3.46	148 592 K	137 948 K	14556	Microsoft® C/C++ Compiler Driver	Microsoft Corporation
     cl.exe	3.37	148 204 K	138 260 K	23088	Microsoft® C/C++ Compiler Driver	Microsoft Corporation
     cl.exe	3.16	148 892 K	140 920 K	3124	Microsoft® C/C++ Compiler Driver	Microsoft Corporation
     cl.exe	3.00	69 928 K	75 072 K	17552	Microsoft® C/C++ Compiler Driver	Microsoft Corporation
     cl.exe	3.44	137 660 K	106 268 K	12564	Microsoft® C/C++ Compiler Driver	Microsoft Corporation
     cl.exe	3.46	165 072 K	157 236 K	13904	Microsoft® C/C++ Compiler Driver	Microsoft Corporation
     cl.exe	3.32	142 988 K	133 164 K	18068	Microsoft® C/C++ Compiler Driver	Microsoft Corporation
      mspdbsrv.exe	9.69	53 140 K	48 168 K	20692	Microsoft® Program Database	Microsoft Corporation
     cl.exe	2.62	134 772 K	94 044 K	16284	Microsoft® C/C++ Compiler Driver	Microsoft Corporation
     cl.exe	3.41	162 744 K	156 936 K	22416	Microsoft® C/C++ Compiler Driver	Microsoft Corporation
     cl.exe	3.50	144 384 K	134 672 K	20136	Microsoft® C/C++ Compiler Driver	Microsoft Corporation
     cl.exe	3.05	142 016 K	132 536 K	22632	Microsoft® C/C++ Compiler Driver	Microsoft Corporation
     cl.exe	3.32	147 056 K	138 984 K	5612	Microsoft® C/C++ Compiler Driver	Microsoft Corporation
     cl.exe	3.63	171 308 K	165 260 K	14940	Microsoft® C/C++ Compiler Driver	Microsoft Corporation
     cl.exe	3.38	156 188 K	149 008 K	21664	Microsoft® C/C++ Compiler Driver	Microsoft Corporation
     cl.exe	3.07	148 508 K	140 484 K	21008	Microsoft® C/C++ Compiler Driver	Microsoft Corporation
 HWMonitor.exe	0.16	9 572 K	20 560 K	20632	HWMonitor	CPUID
 outlook.exe		130 624 K	167 704 K	22028	Microsoft Outlook	Microsoft Corporation
  chrome.exe	< 0.01	105 568 K	191 804 K	12964	Google Chrome	Google Inc.
   chrome.exe		1 352 K	6 272 K	16748	Google Chrome	Google Inc.
   chrome.exe		120 848 K	76 576 K	13844	Google Chrome	Google Inc.
   chrome.exe	0.04	71 136 K	118 524 K	16224	Google Chrome	Google Inc.
 wincvs.exe	0.09	17 300 K	42 160 K	18100	WinCvs GUI shell for CVS.	GNU
 mspaint.exe		29 284 K	65 960 K	14144	Paint	Microsoft Corporation
 Merge.exe		13 692 K	42 912 K	22688	Araxis Merge	Araxis Ltd
TibMounterMonitor.exe		1 172 K	5 048 K	6340	Acronis TIB Mounter Monitor	Acronis International GmbH
TrueImageMonitor.exe	0.23	6 420 K	17 524 K	14680		
pageant.exe		1 220 K	9 064 K	13028	PuTTY SSH authentication agent	Simon Tatham
Samsung Magician.exe	< 0.01	19 756 K	41 616 K	18120	Samsung Magician Application	Samsung Electronics.
Taskmgr.exe	0.07	51 696 K	76 768 K	12980	Диспетчер задач	Microsoft Corporation
mspdbsrv.exe		24 900 K	23 680 K	6132	Microsoft® Program Database	Microsoft Corporation
vctip.exe	< 0.01	20 828 K	86 044 K	19912	Microsoft® VC compiler and tools experience improvement data uploader	Microsoft Corporation

Process: firebird.exe Pid: 8964

Type	Name
Desktop	\Default
Directory	\KnownDlls
Directory	\BaseNamedObjects
Event	\BaseNamedObjects\FIREBIRD_CONNECT_EVENT
Event	\BaseNamedObjects\FIREBIRD_RESPONSE_EVENT
Event	\BaseNamedObjects\fb12_monitor_e31300000000010028000000_event
Event	\BaseNamedObjects\fb12_monitor_aa1b00000000030025000000_mutex_FM_EVT
Event	\BaseNamedObjects\fb12_monitor_e31300000000010028000000_mutex_FM_EVT
Event	\BaseNamedObjects\fb12_monitor_e31300000000010027000000_mutex_FM_EVT
Event	\BaseNamedObjects\fb12_monitor_e31300000000010028000000_event
Event	\BaseNamedObjects\fb12_monitor_a5e3743a00000100fd4a0300_event
Event	\BaseNamedObjects\fb12_monitor_a5e3743a00000100fd4a0300_mutex_FM_EVT
Event	\BaseNamedObjects\fb12_monitor_aa1b00000000030025000000_event
Event	\BaseNamedObjects\fb12_monitor_a5e3743a00000100fd4a0300_mutex_FM_EVT
Event	\BaseNamedObjects\fb12_monitor_a5e3743a00000100fd4a0300_event
Event	\BaseNamedObjects\fb12_monitor_e31300000000010026000000_event
Event	\BaseNamedObjects\fb12_monitor_a5e3743a00000100fd4a0300_mutex_FM_EVT
Event	\BaseNamedObjects\fb12_monitor_e31300000000010027000000_event
Event	\BaseNamedObjects\fb12_monitor_aa1b00000000030025000000_event
Event	\BaseNamedObjects\fb12_monitor_e31300000000010028000000_mutex_FM_EVT
Event	\BaseNamedObjects\fb12_monitor_a5e3743a00000100fd4a0300_mutex_FM_EVT
Event	\BaseNamedObjects\fb12_monitor_a5e3743a00000100fd4a0300_event
Event	\BaseNamedObjects\fb12_monitor_a5e3743a00000100fd4a0300_event
Event	\BaseNamedObjects\fb12_monitor_aa1b00000000030025000000_mutex_FM_EVT
Event	\BaseNamedObjects\fb12_monitor_e31300000000010026000000_mutex_FM_EVT
File	C:\Windows\System32
File	C:\Windows\WinSxS\amd64_microsoft.windows.common-controls_6595b64144ccf1df_5.82.10586.0_none_396e892957c7fb25
File	\Device\DeviceApi
File	\Device\CNG
File	\Device\NamedPipe\interbas\server\gds_db
File	\Device\Afd
File	\Device\KsecDD
File	C:\ProgramData\firebird\fb12_monitor_e31300000000010028000000
File	C:\ProgramData\firebird\fb12_monitor_e31300000000010028000000
File	C:\ProgramData\firebird\fb12_monitor_aa1b00000000030025000000
File	D:\Program_Files\Firebird_3_0_x64\firebird.msg
File	C:\Windows\System32\ru-RU\KernelBase.dll.mui
File	C:\ProgramData\firebird\fb12_monitor_a5e3743a00000100fd4a0300
File	C:\ProgramData\firebird\fb12_monitor_a5e3743a00000100fd4a0300
File	C:\ProgramData\firebird\fb12_monitor_aa1b00000000030025000000
File	C:\ProgramData\firebird\fb12_monitor_a5e3743a00000100fd4a0300
File	C:\ProgramData\firebird\fb12_monitor_e31300000000010027000000
File	C:\ProgramData\firebird\fb12_monitor_a5e3743a00000100fd4a0300
File	C:\ProgramData\firebird\fb12_monitor_e31300000000010026000000
Key	HKLM\SYSTEM\ControlSet001\Control\SESSION MANAGER
Key	HKLM\SYSTEM\ControlSet001\Control\Nls\Sorting\Versions
Key	HKLM
Key	HKLM\SYSTEM\ControlSet001\Control\NetworkProvider\HwOrder
Key	HKLM\SYSTEM\ControlSet001\Services\WinSock2\Parameters\Protocol_Catalog9
Key	HKLM\SYSTEM\ControlSet001\Services\WinSock2\Parameters\NameSpace_Catalog5
Key	HKLM\SYSTEM\ControlSet001\Control\Nls\Sorting\Ids
Key	HKU\S-1-5-21-2788350330-65104056-34123583-1010\Control Panel\International
Mutant	\BaseNamedObjects\firebird_trace_mutex
Mutant	\BaseNamedObjects\FirebirdServerMutexDefaultInstance
Mutant	\BaseNamedObjects\FIREBIRD_CONNECT_MUTEX
Section	\BaseNamedObjects\windows_shell_global_counters
Section	\BaseNamedObjects\FIREBIRD_CONNECT_MAP
Section	\BaseNamedObjects\fb12_monitor_a5e3743a00000100fd4a0300_mapping_0
Section	\BaseNamedObjects\fb12_monitor_e31300000000010026000000_mutex_FM_MAP
Section	\BaseNamedObjects\fb12_monitor_e31300000000010028000000_mapping
Section	\BaseNamedObjects\fb12_monitor_a5e3743a00000100fd4a0300_mutex_FM_MAP
Section	\BaseNamedObjects\fb12_monitor_aa1b00000000030025000000_mapping_0
Section	\BaseNamedObjects\fb12_monitor_a5e3743a00000100fd4a0300_mapping_0
Section	\BaseNamedObjects\fb12_monitor_e31300000000010028000000_mapping_0
Section	\BaseNamedObjects\fb12_monitor_aa1b00000000030025000000_mapping
Section	\BaseNamedObjects\fb12_monitor_aa1b00000000030025000000_mapping_0
Section	\BaseNamedObjects\fb12_monitor_e31300000000010026000000_mapping_0
Section	\BaseNamedObjects\fb12_monitor_e31300000000010028000000_mutex_FM_MAP
Section	\BaseNamedObjects\fb12_monitor_e31300000000010028000000_mapping
Section	\BaseNamedObjects\fb12_monitor_a5e3743a00000100fd4a0300_mapping_0
Section	\BaseNamedObjects\fb12_monitor_a5e3743a00000100fd4a0300_mapping_0
Section	\BaseNamedObjects\fb12_monitor_a5e3743a00000100fd4a0300_mapping
Section	\BaseNamedObjects\fb12_monitor_a5e3743a00000100fd4a0300_mutex_FM_MAP
Section	\BaseNamedObjects\fb12_monitor_e31300000000010027000000_mapping
Section	\BaseNamedObjects\fb12_monitor_a5e3743a00000100fd4a0300_mapping
Section	\BaseNamedObjects\fb12_monitor_e31300000000010028000000_mutex_FM_MAP
Section	\BaseNamedObjects\fb12_monitor_a5e3743a00000100fd4a0300_mapping
Section	\BaseNamedObjects\fb12_monitor_aa1b00000000030025000000_mapping
Section	\BaseNamedObjects\fb12_monitor_a5e3743a00000100fd4a0300_mutex_FM_MAP
Section	\BaseNamedObjects\fb12_monitor_a5e3743a00000100fd4a0300_mapping
Section	\BaseNamedObjects\fb12_monitor_e31300000000010027000000_mutex_FM_MAP
Section	\BaseNamedObjects\fb12_monitor_e31300000000010026000000_mapping
Section	\BaseNamedObjects\fb12_monitor_aa1b00000000030025000000_mutex_FM_MAP
Section	\BaseNamedObjects\fb12_monitor_aa1b00000000030025000000_mutex_FM_MAP
Section	\BaseNamedObjects\fb12_monitor_a5e3743a00000100fd4a0300_mutex_FM_MAP
Section	\BaseNamedObjects\fb12_monitor_e31300000000010028000000_mapping_0
Section	\BaseNamedObjects\fb12_monitor_e31300000000010027000000_mapping_0
Thread	firebird.exe(8964): 14840
Thread	firebird.exe(8964): 11016
Thread	firebird.exe(8964): 12996
Thread	firebird.exe(8964): 12996
Thread	firebird.exe(8964): 6136
WindowStation	\Windows\WindowStations\Service-0x5-59633917$
WindowStation	\Windows\WindowStations\Service-0x5-59633917$
